smiles,zinc_id,mw,xlogp,source_file,max_similarity_to_positive,matched_positive_smiles
O[C@H]1[C@H](O)[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,100073149,180.156,-3.835,AAAA.txt,0.17857142857142858,C(C1[C@H]([C@H](C([C@H](O1)O[C@H]2[C@H](C([C@H](OC2CO)O)O)O)O)O)O)O
NCCN[C@H](CC(=O)O)C(=O)O,98090065,176.172,-1.537,AAAA.txt,0.23076923076923078,CC(C)N.C(C(=O)O)NCP(=O)(O)O
NC(=O)CN1CCC(N)CC1,9256947,157.217,-1.105,AAAA.txt,0.2692307692307692,C(C(=O)N)F
NCC(CO)CO,34380540,105.137,-1.454,AAAA.txt,0.23809523809523808,CC(CO)OC
COC(=O)[C@H]1C(=O)CNC1=O,100654371,157.125,-1.526,AAAA.txt,0.2564102564102564,CCC(=O)C1C(=O)CC(CC1=O)C(=O)O
OC[C@@H](O)CN1CCNCC1,22590355,160.217,-1.755,AAAA.txt,0.2222222222222222,CCCN(CC)CC(CO)O
COC(=O)[C@](C)(O)[C@](C)(O)C(=O)O,1775956583,192.167,-1.254,AAAA.txt,0.2608695652173913,C(=O)(C(F)(F)F)O
O=C1COCCN1CCO,34516865,145.158,-1.163,AAAA.txt,0.275,CCCCCCCCN1CCCC1=O
NC1CC(O)(CO)C1,116188339,117.148,-1.169,AAAA.txt,0.25,C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O
COC1(C(=O)O)CS(=O)(=O)C1,257965363,180.181,-1.115,AAAA.txt,0.20689655172413793,C1CCC(=C(C1)C(=O)O)C(=O)O
NS(=O)(=O)Cc1ncon1,157461268,163.158,-1.142,AAAA.txt,0.23809523809523808,CCS(=O)(=O)C1=C(N=CC=C1)S(=O)(=O)N
C[C@H](O)[C@H]1OC(=O)[C@H](O)[C@H]1O,901596,162.141,-1.986,AAAA.txt,0.23076923076923078,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
C1CN(c2nn[nH]n2)CCN1,83339594,154.177,-1.391,AAAA.txt,0.15384615384615385,C1CN(C(=S)N1)C(=S)N
C[S@@](=O)CC[C@H](N)C(N)=O,38788906,164.23,-1.432,AAAA.txt,0.2702702702702703,CP(=O)(CCC(C(=O)[O-])N)[O-].[NH4+].[NH4+]
CNC(=O)[C@@H](N)CO,39259908,118.136,-1.948,AAAA.txt,0.28205128205128205,CC(C(=O)NC)SCCSP(=O)(OC)OC
Cn1nnnc1O,39208978,100.081,-1.084,AAAA.txt,0.175,CC1=NC=C(N1CCO)[N+](=O)[O-]
COC(=O)[C@@H]1CNNC(=O)C1,3134276,158.157,-1.2,AAAA.txt,0.24390243902439024,CCC(=O)C1C(=O)CC(CC1=O)C(=O)O
O=C1CCN[C@]2(CCNC2)CN1,2325712085,169.228,-1.172,AAAA.txt,0.21875,C1CNC(=O)NC1
CCNC(=O)C[C@@H]1NCCNC1=O,66152750,185.227,-1.399,AAAA.txt,0.24390243902439024,CCNC(=O)NC(=O)C(=O)O
NC[C@H]1CO[C@@H]2[C@@H](CN)CO[C@H]12,306704094,172.228,-1.066,AAAA.txt,0.25,CC1CO1
O=C(O)C1(O)CNC1,95532446,117.104,-1.595,AAAA.txt,0.25,C1CCC(=C(C1)C(=O)O)C(=O)O
NCCCC[C@H](N)C(=O)OCCN,83428674,189.259,-1.055,AAAA.txt,0.28,C(CCCCN)CCCN
NC(=O)[C@H]1CCC(=O)N1,4764135,128.131,-1.25,AAAA.txt,0.2647058823529412,C1CC(=C(C1O)C(=O)O)N
OC[C@@H](O)c1cn[nH]n1,199623122,129.119,-1.17,AAAA.txt,0.1935483870967742,C(O)[P+](CO)(CO)CO.C(O)[P+](CO)(CO)CO.[O-]S(=O)(=O)[O-]
COCn1[nH]cnc1=NN,725328034,143.15,-1.411,AAAA.txt,0.19672131147540983,C1CC1(C(CC2=CC=CC=C2Cl)(CN3C(=S)N=CN3)O)Cl
C[C@H](O)[C@@H]1CN2C[C@H](O)C[C@H]2CN1,72233271,186.255,-1.226,AAAA.txt,0.175,C1C2C(CC(C1O)O)C(=O)NC2=O
COC(=O)[C@](C)(O)CN,85231351,133.147,-1.131,AAAA.txt,0.25,CCCCCCCCCC(=O)OC
CN[C@H]1COC[C@@H]1O,21953371,117.148,-1.035,AAAA.txt,0.21739130434782608,CC1CO1
CN1CCN([C@@H](CO)CCN)CC1,82391605,187.287,-1.057,AAAA.txt,0.25,CN1CCCC1
